name ,team,image,
Michael van Lingen,Namibia,,
Divan la Cock,Namibia,,
Jan Nicol Loftie-Eaton,Namibia,,
Stephan Baard,Namibia,,
Gerhard Erasmus,Namibia,,
Jan Frylinck,Namibia,,
David Wiese,Namibia,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/322000/322079.png",
JJ Smit,Namibia,,
Pathum Nissanka,Sri Lanka,,
Kusal Mendis,Sri Lanka,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/319800/319866.png",
Dhananjaya de Silva,Sri Lanka,,
Danushka Gunathilaka,Sri Lanka,,
Bhanuka Rajapaksa,Sri Lanka,,
Dasun Shanaka,Sri Lanka,,
Wanindu Hasaranga de Silva,Sri Lanka,,
Chamika Karunaratne,Sri Lanka,,
Pramod Madushan,Sri Lanka,,
Dushmantha Chameera,Sri Lanka,,
Maheesh Theekshana,Sri Lanka,,
Gerhard Erasmus,Namibia,,
Bernard Scholtz,Namibia,,
Ben Shikongo,Namibia,,
Charith Asalanka,Sri Lanka,,
David Warner,Australia,,
Aaron Finch,Australia,,
Mitchell Marsh,Australia,,
Glenn Maxwell,Australia,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/316600/316657.png",
Marcus Stoinis,Australia,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/321500/321596.png",
Josh Hazlewood,Australia,,
Pat Cummins,Australia,,
Mitchell Starc,Australia,,
Ashton Agar,Australia,,
Binura Fernando,Sri Lanka,,
Lahiru Kumara,Sri Lanka,,
Dasun Shanaka,Sri Lanka,,
